"","ID_Yapper","ID","participant","TIME_total","Game_Feelings","Age","Gender","Town","Country","Studies","CSP","CSP_Other","Writing_Script_C","Writing_Script","Writing_Language","Subjective_SES","Pay_Distance","Pay_Amount","Pay_Month","Household_Nb","PESS_1","PESS_2","PESS_3","PESS_4","PESS_5","PESS_6","PESS_7","PESS_8","PESS_Mean","SoundCalibration","SoundProblem","Check_Sound","Check_Uncomfort","Check_Volume","Knew","KnewTask","KnewIB","PrimaryTask","PrimaryTask_C","Congruency","Congruency_C","Threat","Threat_C","Count_Trial1","Count_TrialCritical","Count_TrialDivided","Error_Trial1","Error_TrialCritic","Error_TrialDivided","PleasureTrial1","PleasureCritical","PleasureDivided","ArousalTrial1","ArousalCritical","ArousalDivided","SenseControlTrial1","SenseControlCritical","SenseControlDivided","Noticing_Critic","Noticing_Divided","Noticing_Full","Angry_pretest","Happy_pretest","Depressed_pretest","Calm_pretest_Recod","Nervous_pretest","Anxious_pretest","Tense_pretest","Stressed_pretest","Angry","Happy","Depressed","Calm_Recod","Nervous","Anxious","Tense","Stressed","FearScore_pre","FearScore_post","FearScore","FearMean_pre","FearMean_post","FearMean"
"563","XXXX",1317,"s.acb9f8c2-6686-4417-ac91-548215b075a4.txt",10,"Rien",43,2,"Paris","France",8,5,NA,1,"LatinScript",NA,5,13,"1500","1500",3,2,6,6,6,1,5,4,5,4.375,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"WhiteFocus",-0.5,"Incongruent",-0.5,"Control",-0.5,10,12,8,0,0,0,4,4,7,1,6,6,7,6,7,0,0,1,1,2,2,1,1,1,6,1,1,5,1,2,2,1,3,1,-0.526222391019736,-0.701169482884059,-0.174947091864323,2.25,1.75,-0.5
"564","XXXX",148,"s.119b7909-badb-426b-8565-7e3fdcd5743f.txt",5,"bien",42,2,"hayange","france",5,9,NA,1,"LatinScript",NA,7,0,"0","50",2,5,4,5,5,5,4,4,4,4.5,"LoudSound",NA,-0.5,NA,NA,0.5,0.5,-0.5,"BlackFocus",0.5,"Incongruent",-0.5,"Control",-0.5,10,13,8,1,1,0,5,8,7,7,3,2,9,7,8,1,1,1,2,6,2,2,2,4,3,2,2,5,2,1,2,2,2,2,-0.0573100552320367,-0.495596615753568,-0.438286560521531,2.75,2,-0.75
"565","XXXX",1051,"s.86542250-9368-4153-bc6e-488bf4e18d1a.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LoudSound",NA,NA,NA,NA,NA,NA,NA,"BlackFocus",0.5,"Congruent",0.5,"Control",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,5,2,3,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.479706325359927,NA,NA,2,NA,NA
"566","XXXX",1560,"s.cd4447e1-b066-460e-bf2d-7c9fdbc4f4ac.txt",23,"Ce n'est pas simple de choisir les r<e9>ponses. Les derni<e8>res questions sont tr<e8>s personnelles, il est d<e9>sagr<e9>able d'y r<e9>pondre.",70,1,"Asni<e8>res-sur-Seine","France",3,7,NA,1,"LatinScript",NA,6,10,"560","1300",1,5,4,3,4,5,3,2,3,3.625,"SoftSound",NA,0.5,-0.5,0.5,0.5,-0.5,-0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,8,11,13,11,9,8,3,4,4,6,6,7,6,6,5,0,0,1,3,3,5,4,4,5,5,4,3,4,4,3,2,4,2,3,1.10260493241914,-0.0600815919376264,-1.16268652435676,4.5,2.75,-1.75
"567","XXXX",1102,"s.8dede1bc-918f-436b-b3fa-9633483d0832.txt",10,"Une exp<e9>rience tr<e8>s int<e9>ressante",36,2,"MONTPELLIER","FRANCE",6,5,NA,1,"LatinScript",NA,7,15,"2500","4000",2,2,3,2,6,2,4,5,4,3.5,"SoftSound",NA,-0.5,NA,NA,-0.5,-0.5,0.5,"WhiteFocus",-0.5,"Congruent",0.5,"Control",-0.5,22,18,19,1,5,5,7,7,7,2,2,2,7,7,7,1,1,1,1,5,1,2,2,1,1,2,1,5,1,2,1,1,1,1,-0.711227350265492,-1.10793820725763,-0.396710856992134,1.5,1,-0.5
"568","XXXX",287,"s.25bbbc04-8fe7-4e22-a7bb-bdfa7e559a44.txt",10,"Interet et intrigu<e9>",42,2,"Beaumont le roger","France",6,2,NA,1,"LatinScript",NA,7,20,"2000","4500",4,3,2,1,1,2,4,2,5,2.5,"SoftSound",NA,0.5,-0.5,0.5,-0.5,-0.5,-0.5,"WhiteFocus",-0.5,"Congruent",0.5,"Threat",0.5,18,18,19,5,5,5,6,6,6,2,3,2,7,6,6,0,0,1,2,4,3,2,1,1,2,2,1,4,1,2,3,3,3,5,-0.778903957918308,0.513680691074435,1.29258464899274,1.5,3.5,2
"569","XXXX",460,"s.3b18340b-90bb-4070-82fe-ed27afef345e.txt",12,"Plut<f4>t amusant et int<e9>ressant",21,1,"Orsay","France",6,8,NA,1,"LatinScript",NA,3,25,"520","520",1,6,6,4,4,6,5,4,5,5,"LoudSound",NA,-0.5,NA,NA,-0.5,-0.5,-0.5,"BlackFocus",0.5,"Congruent",0.5,"Control",-0.5,18,17,19,1,3,2,8,7,7,4,4,4,8,7,7,1,1,1,1,5,2,5,2,3,1,3,1,6,1,4,2,1,2,2,-0.219269353934341,-0.614120198830553,-0.394850844896212,2.25,1.75,-0.5
"570","XXXX",1535,"s.c9008a29-0411-4d7c-9eda-9e78e07532af.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WhiteFocus",-0.5,"Incongruent",-0.5,"Control",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,6,1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.33890756865063,NA,NA,2.25,NA,NA
"571","XXXX",757,"s.610ab151-b451-467d-ab14-ba8379352c1e.txt",14,"Rien de sp<e9>cial",24,1,"Toulouse","France",5,8,NA,1,"LatinScript",NA,5,31,"300","2300",2,2,7,1,6,1,1,5,5,3.5,"SoftSound",NA,0.5,-0.5,0.5,-0.5,-0.5,0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,41,20,15,22,0,6,7,5,5,3,2,2,7,6,7,1,0,1,1,6,1,1,1,1,1,1,1,5,1,2,1,1,4,4,-1.10502495328365,-0.178278913446309,0.926746039837338,1,2.5,1.5
"572","XXXX",1472,"s.c12c7932-a7ac-4844-a0f9-7afbbe3858ff.txt",13,"etonnement",49,1,"MORHANGE","FRANCE",6,2,NA,1,"LatinScript",NA,4,6,"2000","2000",4,5,6,2,6,3,7,6,6,5.125,"SoftSound",NA,0.5,0.5,-0.5,-0.5,-0.5,-0.5,"BlackFocus",0.5,"Congruent",0.5,"Threat",0.5,9,16,19,10,4,2,4,5,5,6,6,5,4,5,5,0,0,1,1,2,4,3,3,1,3,3,1,2,2,5,2,1,3,2,-0.0859087223417715,-0.502701625222086,-0.416792902880315,2.5,2,-0.5
