"","participant","chooserandom_Instruction_1","chooserandom_Condition_1","chooserandom_Relevance_1","ID_Yapper","Angry_pretest","Anxious_pretest","Happy_pretest","Depressed_pretest","Tense_pretest","Calm_pretest","Stressed_pretest","Nervous_pretest","SoundCalibration_1","SoundProblem_1","count_Trial1_Irrelevant_1","Pleasure_Trial1_Irrelevant_1","Arousal_Trial1_Irrelevant_1","Control_Trial1_Irrelevant_1","count_Criticaltrial_Irrelevant_1","Pleasure_Criticaltrial_Irrelevant_1","Arousal_Criticaltrial_Irrelevant_1","Control_Criticaltrial_Irrelevant_1","IB_Criticaltrial_Irrelevant_1","IB_Feature_Criticaltrial_Irrelevant_1","IB_Color_Criticaltrial_Irrelevant_1","IB_Motion_Criticaltrial_Irrelevant_1","count_Dividedtrial_Irrelevant_1","Pleasure_Dividedtrial_Irrelevant_1","Arousal_Dividedtrial_Irrelevant_1","Control_Dividedtrial_Irrelevant_1","IB_Dividedtrial_Irrelevant_1","IB_Feature_Dividedtrial_Irrelevant_1","IB_Color_Dividedtrial_Irrelevant_1","IB_Motion_Dividedtrial_Irrelevant_1","IB_Fulltrial_Irrelevant_1","IB_Feature_Fulltrial_Irrelevant_1","IB_Color_Fulltrial_Irrelevant_1","IB_Motion_Fulltrial_Irrelevant_1","count_Trial1_Relevant_1","Pleasure_Trial1_Relevant_1","Arousal_Trial1_Relevant_1","Control_Trial1_Relevant_1","count_Criticaltrial_Relevant_1","Pleasure_Criticaltrial_Relevant_1","Arousal_Criticaltrial_Relevant_1","Control_Criticaltrial_Relevant_1","IB_Criticaltrial_Relevant_1","IB_Feature_Criticaltrial_Relevant_1","IB_Color_Criticaltrial_Relevant_1","IB_Motion_Criticaltrial_Relevant_1","count_Dividedtrial_Relevant_1","Pleasure_Dividedtrial_Relevant_1","Arousal_Dividedtrial_Relevant_1","Control_Dividedtrial_Relevant_1","IB_Dividedtrial_Relevant_1","IB_Feature_Dividedtrial_Relevant_1","IB_Color_Dividedtrial_Relevant_1","IB_Motion_Dividedtrial_Relevant_1","IB_Fulltrial_Relevant_1","IB_Feature_Fulltrial_Relevant_1","IB_Color_Fulltrial_Relevant_1","IB_Motion_Fulltrial_Relevant_1","Angry","Anxious","Happy","Depressed","Tense","Calm","Stressed","Nervous","Check_sound_1","Check_Uncomfort_1","Check_Volume_1","Connaissance_1","Connaissance_Task_1","Connaissance_IB_1","Subjective_SES","PESS_1","PESS_2","PESS_3","PESS_4","PESS_5","PESS_6","PESS_7","PESS_8","Pay_Distance","Household_Nb","Pay_Amount","Pay_Month","Age","Gender","Town","Country","Writing_Script_C","Writing_Language","Studies","CSP","CSP_Other","Game_Feelings","TIME_start","TIME_end","TIME_total","ID","PrimaryTask","PrimaryTask_C","Threat","Threat_C","Congruency","Congruency_C","Calm_pretest_Recod","Calm_Recod","SoundCalibration","SoundProblem","Count_Trial1","Count_TrialCritical","Count_TrialDivided","Error_Trial1","Error_TrialCritic","Error_TrialDivided","PleasureTrial1","PleasureCritical","PleasureDivided","ArousalTrial1","ArousalCritical","ArousalDivided","SenseControlTrial1","SenseControlCritical","SenseControlDivided","Noticing_Critic","Noticing_Divided","Noticing_Full","Check_Sound","Check_Uncomfort","Check_Volume","Knew","KnewTask","KnewIB","Writing_Script","FearScore_pre","FearScore_post","FearMean_pre","FearMean_post","FearScore","FearMean","PESS_Mean"
"1","s.742aafed-35a4-4eec-8862-84ef564754bf.txt",1,1,2,"XXXX",1,3,4,2,4,3,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-27-12-39",NA,NA,911,"WhiteFocus",-0.5,"Control",-0.5,"Congruent",0.5,5,NA,"LoudSound",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.942530752267275,NA,4,NA,NA,NA,NA
"2","s.a5624341-80ba-47e4-bcc9-c9cd01426644.txt",2,1,1,"XXXX",1,1,7,1,1,7,1,1,3,NA,10,9,1,9,12,9,1,9,2,NA,NA,NA,8,9,1,9,1,3,4,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,2,7,1,1,2,NA,NA,1,1,2,7,1,4,1,7,1,1,1,2,25,3,"5000","9000",53,1,"Terville","FRANCE",1,NA,3,4,NA,"tr<e8>s attentive car je pensais la t<e2>che plus complexe","2023-09-05-18-21","2023-09-05-18-28",7,1264,"BlackFocus",0.5,"Control",-0.5,"Incongruent",-0.5,1,1,"LoudSound",NA,10,12,8,1,2,0,9,9,9,1,1,1,9,9,9,0,1,1,-0.5,NA,NA,-0.5,-0.5,0.5,"LatinScript",-1.10502495328365,-0.99651963364916,1,1.25,0.108505319634488,0.25,2.25
"3","s.10511ff3-82a6-481f-9141-092ee9c0414f.txt",1,1,2,"XXXX",1,1,4,2,2,7,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,5,6,21,5,4,7,1,3,4,7,19,5,3,7,1,3,4,2,1,3,4,2,1,1,3,1,3,5,1,2,2,NA,NA,1,1,2,5,5,1,1,1,1,1,1,2,31,2,"1200","2500",39,1,"Gourdon","France",1,NA,3,5,NA,"rien de sp<e9>cial","2023-10-05-16-20","2023-10-05-16-30",10,133,"WhiteFocus",-0.5,"Control",-0.5,"Congruent",0.5,1,3,"LoudSound",NA,27,21,19,4,2,5,5,5,5,5,4,3,6,7,7,1,1,1,-0.5,NA,NA,-0.5,-0.5,0.5,"LatinScript",-0.595466837812709,-0.701169482884059,1.75,1.75,-0.105702645071349,0,1.625
"4","s.597b2df3-1bc3-4ef5-8033-a0ef45251dc1.txt",1,1,1,"XXXX",2,1,3,1,1,6,2,1,2,NA,10,5,3,9,12,5,3,9,1,3,2,2,8,5,3,9,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,7,1,1,2,NA,NA,1,1,1,7,2,5,1,2,3,5,5,5,20,3,"2200","3000",73,2,"Roncq","France",2,"Anglais",5,7,NA,"J'atais un peu stress<e9> au d<e9>but et  le fait de me focaliser sur une tache m'a d<e9>tendu. J'ai donc ressenti de l'apaisement.","2023-09-06-14-33","2023-09-06-14-46",13,698,"WhiteFocus",-0.5,"Control",-0.5,"Incongruent",-0.5,2,1,"SoftSound",NA,10,12,8,0,0,0,5,5,5,3,3,3,9,9,9,1,1,1,-0.5,NA,NA,-0.5,-0.5,-0.5,"OtherScript",-0.89466447037109,-1.10793820725763,1.25,1,-0.213273736886536,-0.25,3.5
"5","s.5120f48b-400c-4e60-9b6b-14a63f498afe.txt",2,1,1,"XXXX",3,3,2,3,4,5,5,3,3,NA,10,6,3,8,12,7,2,8,2,NA,NA,NA,8,7,2,8,2,NA,NA,NA,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,6,2,2,2,NA,NA,1,1,2,3,4,3,1,1,1,4,1,5,22,3,"1600","4200",52,1,"BONNEMAIN","FRANCE",1,NA,5,5,NA,"J'<e9>tais concentr<e9>e","2023-09-05-13-05","2023-09-05-13-16",11,634,"BlackFocus",0.5,"Control",-0.5,"Incongruent",-0.5,3,2,"LoudSound",NA,10,12,8,1,2,0,6,7,7,3,2,2,8,8,8,0,0,1,-0.5,NA,NA,-0.5,-0.5,0.5,"LatinScript",0.732170269354718,-0.495596615753568,3.75,2,-1.22776688510829,-1.75,2.5
"6","s.2d32f8d9-746c-41ac-876d-7265f8276e9c.txt",1,2,1,"XXXX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-25-18-25",NA,NA,351,"WhiteFocus",-0.5,"Threat",0.5,"Incongruent",-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","s.4a3993b1-1739-4961-bbf4-5e64a27ac062.txt",2,1,1,"XXXX",5,3,5,5,5,4,5,5,3,NA,11,5,6,6,11,5,5,6,2,NA,NA,NA,8,5,5,6,2,NA,NA,NA,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,5,5,4,3,2,NA,NA,2,2,2,6,4,6,5,4,5,5,6,6,6,4,"1700","3700",38,1,"gorges","france",1,NA,2,5,NA,NA,"2023-10-25-17-03","2023-10-25-17-16",13,565,"BlackFocus",0.5,"Control",-0.5,"Incongruent",-0.5,4,3,"LoudSound",NA,11,11,8,0,3,0,5,5,5,6,5,5,6,6,6,0,0,0,-0.5,NA,NA,0.5,0.5,0.5,"LatinScript",1.2148050220187,0.538049980629395,4.5,3.75,-0.676755041389302,-0.75,5.125
"8","s.fed68c35-cbe6-4669-a96d-ba61ca7443c3.txt",1,1,1,"XXXX",1,1,5,1,1,6,2,2,3,NA,10,9,2,9,11,8,2,9,1,3,2,2,8,9,2,9,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,1,1,7,1,2,2,NA,NA,1,1,2,6,1,2,2,1,2,1,3,4,1,1,"1700","1700",26,1,"Paris","France",1,NA,8,10,NA,"Aucune difficult<e9>","2023-09-23-08-57","2023-09-23-09-08",11,1910,"WhiteFocus",-0.5,"Control",-0.5,"Incongruent",-0.5,2,1,"LoudSound",NA,10,11,8,0,1,0,9,8,9,2,2,2,9,9,9,1,1,1,-0.5,NA,NA,-0.5,-0.5,0.5,"LatinScript",-0.711227350265492,-0.924006630100992,1.5,1.25,-0.2127792798355,-0.25,2
"9","s.c0cf28f2-5662-4e21-a5ba-5a8a81a130ea.txt",2,1,1,"XXXX",1,1,4,4,1,7,1,1,2,NA,11,5,1,9,13,5,1,9,1,3,4,2,8,5,1,9,1,3,4,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,7,4,1,2,NA,NA,2,2,2,7,1,7,5,1,6,3,1,1,20,1,"1395","1395",24,1,"Saint medard en jalles","France",1,NA,5,8,NA,"Rien de sp<e9>cial","2023-09-14-17-15","2023-09-14-17-27",12,1467,"BlackFocus",0.5,"Control",-0.5,"Incongruent",-0.5,1,1,"SoftSound",NA,11,13,8,0,1,0,5,5,5,1,1,1,9,9,9,1,1,1,-0.5,NA,NA,0.5,0.5,0.5,"LatinScript",-1.10502495328365,-0.512534634271709,1,1.75,0.592490319011938,0.75,3.125
"10","s.78a9324a-434a-45fc-abca-f4fa44ab2c30.txt",2,1,1,"XXXX",2,2,7,2,2,6,2,1,3,NA,13,7,4,6,15,7,2,6,2,NA,NA,NA,8,7,3,6,1,3,4,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,5,1,1,1,1,2,1,1,1,7,4,4,4,4,4,4,4,4,27,3,"5000","5000",32,2,"Bordeaux","France",1,NA,11,3,NA,"rien de sp<e9>cial","2023-09-05-11-19","2023-09-05-12-02",43,946,"BlackFocus",0.5,"Control",-0.5,"Incongruent",-0.5,2,3,"LoudSound",NA,13,15,8,2,1,0,7,7,7,4,2,3,6,6,6,0,1,1,0.5,0.5,0.5,-0.5,-0.5,-0.5,"LatinScript",-0.638105201209011,-1.10793820725763,1.75,1,-0.469833006048615,-0.75,4
